RES_ID,rs,NUM_MAR,Age,LAND_DECIMAL,AN_INCOME
1V53038740,5,1,58,388,8900
2V20010919,5,1,58,20,10000
1G00031702,5,1,58,128,10000
1DX0044302,5,1,58,5,18000
1V35004703,5,1,58,0,24000
1V27003602,5,1,58,27,25000
1V05026906,4,1,58,21.5,26200
1V89017003,3,1,58,9,31200
1V20001502,6,1,58,4.5,36000
1VBB046613,7,1,58,140,40000
1VB4035210,8,1,58,15,48000
1V10013108,4,1,58,36,48000
1U00020209,7,1,58,145,57000
1V76001202,9,1,58,1250,58000
1V36004302,1,1,58,2,60000
2V05008111,6,1,58,124,65000
1D19036803,4,1,58,27,66000
1V54000542,2,1,58,71,84000
1V53028003,4,1,58,398,121000
2V09019106,4,1,59,10,3400
1V6425640,6,1,59,0,3600
1N00004940,7,1,59,630,5100
1V45009443,5,1,59,15,8000
3VBB014118,6,1,59,41,22000
1V26027505,4,1,59,4,24000
1V53032103,6,2,59,4.5,24000
2W00063205,6,1,59,480,24000
1V89013408,8,1,59,60,27600
1D31007705,5,1,59,100,36000
1V09004102,5,1,59,57,56000
4W00194402,4,1,59,30,60000
1L00003613,5,1,59,129,63000
1D58008603,6,1,59,240,63000
3V72007905,5,1,59,6,63000
1V74014903,5,1,59,380,92000
2W00047602,9,1,59,380,104000
3W00016616,6,1,59,170,240000
1V59001806,5,1,59,72,360000
1V36013004,8,1,60,640,1000
1V18042105,6,1,60,22,4000
1V50003704,3,1,60,25.5,5000
1U00091502,6,1,60,42,5000
1V06034304,4,1,60,0,9200
1A00012402,9,1,60,9,9700
1V53032103,2,2,60,0,11000
1V00078908,5,1,60,24,13600
1V18027508,6,1,60,6,15000
1V63017002,7,1,60,372,15000
1D88002803,3,1,60,360,15000
3D99049101,5,1,60,720,15840
1T00014807,9,1,60,4,22000
1DX0000241,8,2,60,480,22000
1C00004003,5,1,60,132,22000
2V19048507,5,1,60,0,24000
1V72055742,5,2,60,0,24000
1D13037203,5,1,60,34,24000
1VBB002509,6,1,60,606,24000
1V63010302,13,2,60,376,25000
1V30000904,11,1,60,15060,25000
1V72015803,3,1,60,4,26400
1D99021505,8,1,60,738,29000
2V76011312,9,1,60,366,30000
2V54001317,11,1,60,52.5,30000
1V98000605,4,1,60,3,36000
4V72143403,5,1,60,5,36000
1D93002503,8,4,60,10,36000
1V05004041,6,1,60,12,36000
1V57011605,8,1,60,3,36000
1N00024202,6,2,60,40,36000
2V31037008,4,1,60,140,45000
2D28010114,4,1,60,0,48000
2V24021708,9,1,60,6,48000
1V36033009,3,1,60,6,48000
1V45003841,8,1,60,210,50000
1P00002105,7,1,60,23,54000
1U00048408,8,1,60,6.5,58000
1H00008006,7,1,60,4,60000
1V24018306,9,1,60,30,65000
2U00088404,8,1,60,480,69000
1V19036404,6,1,60,26,71000
3V39005807,6,2,60,0,72000
2V80012209,7,1,60,263,80768
1V05021402,6,1,60,80,82000
2V87004813,9,1,60,3060,84000
2U00042807,8,1,60,57,120000
2VBC055508,4,1,60,415,296000
1V40006704,5,1,61,27,10000
2D99007404,6,1,61,378,14000
1VB3035402,8,1,61,247,20000
4V59022108,7,1,61,250,20000
1D31004703,3,1,61,51,23600
1V25020804,3,2,61,30,24000
1VB1013404,3,1,61,124,24000
1V06019710,6,1,61,480,25000
1VBB007441,8,1,61,132,26000
4T00014609,5,1,61,30,30000
2V24027510,4,1,61,23,36000
1VB2005902,7,1,61,155,53000
1VB0019802,5,1,61,57,60000
1V57007340,4,1,61,13,63000
1V18034405,5,1,61,127.5,92000
1V16004002,5,1,62,27,1000
1V36023802,4,1,62,365,2400
2V31129410,7,1,62,3,4800
1V56014202,4,1,62,7,5000
1V05009502,5,1,62,980,5000
1V36063905,4,2,62,30,7200
1V32031702,5,1,62,37,7400
1V35021808,3,1,62,17,8000
1V41010806,4,1,62,3,9000
2V54009805,5,1,62,4.5,10000
1V12002040,8,1,62,10,10000
1V00075304,5,1,62,60,10000
1U00095004,6,1,62,250,10000
2D89009304,9,1,62,45,10000
1VBA006102,5,1,62,240,10000
2V36062017,6,1,62,37,10500
2V70010505,2,1,62,9,12000
1VBB008102,6,1,62,12,12000
1V84018511,1,1,62,16,12000
1U00086803,2,1,62,129,12000
1V86003804,6,1,62,147,12980
1V69018903,5,1,62,243,15000
1V36031802,6,1,62,247,15000
2V67006715,5,1,62,265,15000
1V40008404,5,1,62,496,15000
1D00022040,2,3,62,1,18000
3O00011607,7,1,62,0,20000
2D31016612,5,2,62,0,20000
1V72074940,3,1,62,36,21000
3C00098002,4,2,62,9,24000
2V89018208,6,1,62,1810,24000
1D34012103,7,2,62,260,25000
3V84003007,8,1,62,384,25000
2V80009411,3,1,62,54,26000
1D33012240,7,1,62,0,30000
1D13037203,4,2,62,4.5,30000
1V40004902,5,1,62,1080,30000
V47022602,3,1,62,255,35000
2V35000112,5,1,62,3,36000
1VBA013108,4,1,62,8,36000
1V28010808,5,1,62,10,36000
2B00031507,9,1,62,24,36000
1G00000110,6,1,62,255,36000
3V31133504,8,1,62,8,36000
1D97001541,5,1,62,15,39000
4V17012014,10,1,62,14,39000
1D48013403,4,1,62,98,40000
