resId,age,noChildren,noSurvived15,totalLand,arableLand,landClass,cows,bulls,sheep,pigs,horses,otherLivestock,Nwives
523,78,5,5,3.6,1,5,1,0,0,0,0,0,1
132,65,3,3,3.75,1,5-6,2,0,0,0,0,0,1
1603,51,4,4,3.8,1.2,3-6,0,0,0,0,0,0,1
339,31,7,7,4,2,4,4,0,0,0,0,0,1
1973,51,6,6,4,2,5-6,2,0,0,0,0,0,1
1945,57,6,6,4,3.4,4-5,1,0,0,0,0,0,1
956,57,6,6,4,2.5,5,3,0,0,0,1,0,1
510,61,3,3,4,1.4,5-6,0,0,0,0,0,0,1
1580,62,3,3,4,1,4-5,2,0,0,0,1,0,1
316,63,3,3,4,2.5,4-5,2,0,0,0,0,0,1
521,63,4,4,4,1.5,5,2,2,0,0,0,0,1
451,64,4,4,4,0.5,4-5,7,0,0,0,0,0,1
441,64,2,2,4,2,5-6,1,0,0,0,0,0,1
1447,65,2,2,4,3,4,2,0,0,0,0,0,1
373,69,2,2,4,1.5,4-5,1,0,0,0,0,0,1
1315,70,2,2,4,3,4,2,4,0,10,0,0,1
1692,73,6,6,4,2.2,4-5,1,0,2,0,0,0,1
307,74,12,12,4,2,4-5,0,0,0,0,2,0,1
65,74,8,7,4,0,0,0,0,0,0,0,0,1
1967,77,3,3,4,1,4-5,0,0,0,0,0,0,1
100,62,5,5,4.11,0,0,1,0,0,0,0,0,1
683,62,3,3,4.14,2.5,5-6,1,2,0,13,2,0,1
518,62,6,6,4.3,2,4-5,2,3,0,2,6,0,1
1467,74,6,6,4.3,3.7,5,2,0,0,1,1,0,1
783,43,3,3,4.33,3,4-5,2,0,0,1,0,0,1
1149,64,6,6,4.5,1.5,4,2,1,0,2,0,0,1
516,75,1,1,4.5,4,5-6,0,0,0,0,0,0,1
1508,78,6,6,4.5,2,5-6,0,0,0,0,0,0,1
1500,48,6,6,4.6,1.2,5-6,1,0,0,0,0,4,1
1448,60,8,8,4.6,2.2,5-6,2,3,70,0,1,15,1
1789,62,5,5,4.6,3.8,4-5,1,0,0,0,0,0,1
1718,67,6,6,4.6,3.2,4,4,0,0,0,0,8,1
1294,77,9,9,4.65,2.9,5,0,0,0,2,0,0,1
361,66,2,2,4.7,2.8,4-5,1,0,0,0,0,0,1
432,67,3,3,4.74,1,4,3,0,0,0,0,0,1
370,87,3,3,4.76,2.5,5,1,0,0,0,0,2,1
1762,62,4,4,4.8,2.4,4-5,2,3,0,2,0,1,1
1623,62,7,7,4.8,2.8,4-5,8,0,0,0,0,0,1
480,63,3,3,4.8,2.4,5-6,5,0,0,0,0,0,1
1478,72,11,10,4.8,3.5,5-6,1,1,0,1,0,15,1
1171,68,4,4,4.9,2,4-5,0,0,0,0,0,0,1
1463,72,5,5,4.9,3.2,5-6,0,0,0,0,0,0,1
574,62,5,5,4.95,4.15,4-5,4,0,0,1,1,0,1
462,28,1,1,5,0,4-5,2,0,0,0,0,0,1
1834,60,2,2,5,2,5-6,2,0,1,0,0,0,1
183,62,4,4,5,0,0,0,0,0,0,1,0,1
1495,67,3,3,5,0.5,5-6,0,0,0,0,1,0,1
240,67,5,5,5,1.5,5,4,0,0,0,1,0,1
1756,67,5,5,5,3,5-6,1,1,0,0,0,0,1
1899,68,5,5,5,1,4-5,1,0,0,0,1,0,1
36,68,4,4,5,0,0,0,0,0,0,0,0,1
369,69,0,0,5,1,5-6,1,0,0,0,0,0,1
596,70,6,4,5,2,4-5,0,0,0,0,0,2,1
1948,72,6,6,5,3,5-6,2,1,0,0,0,0,1
1637,73,8,7,5,3,4-5,5,0,0,0,0,0,1
1233,73,3,3,5,2,5,2,1,1,1,1,0,1
1630,78,8,7,5,2,4-5,3,10,0,0,1,0,1
696,78,9,9,5,2.5,4-5,0,0,0,0,1,0,1
1607,79,1,1,5,3,4-5,1,0,0,0,0,0,1
384,81,3,3,5,0.8,5,0,0,0,0,0,0,1
355,82,2,2,5,2.84,0,0,0,0,0,0,0,1
1366,86,7,5,5,3.6,0,0,0,0,0,0,0,1
786,89,5,5,5,3,4-5,0,0,9,0,0,0,1
1262,94,2,2,5,1.6,4-5,2,0,0,2,0,0,1
1839,63,6,6,5.14,2.14,5-6,3,0,0,1,1,0,1
1994,61,7,7,5.15,1,5-6,1,0,1,0,0,0,1
304,72,4,4,5.2,4,2-3,2,1,0,1,0,0,1
1489,74,4,4,5.3,0,5-6,2,0,0,0,0,0,1
16,73,4,4,5.4,0,0,1,0,0,0,0,0,1
