ID,Age,Wives,WealthRatio,rs
22743,50,1,1.03,1
22801,50,2,0.01,0
23270,50,3,0.01,1
23967,50,1,0.01,0
24172,50,1,1.16,2
24288,50,1,0.58,2
24422,50,0,0.01,0
24859,50,1,0.01,0
25811,50,1,0.01,2
26616,50,1,0.01,6
26648,50,0,0.01,0
27681,50,1,0.01,3
27841,50,0,14.53,1
27949,50,1,0.01,0
27962,50,0,1.06,0
28384,50,1,61.85,10
28522,50,1,0.01,1
29484,50,1,6.87,4
29806,50,1,5.6,6
100786,50,1,412.37,0
101335,50,0,0.009242144,0
101584,50,1,85.91,5
101686,50,0,5.15,0
103732,50,1,523.25,0
105840,50,1,0.009242144,1
106680,50,1,0.01,8
400543,50,1,103.09,0
400780,50,1,6.33,0
400943,50,1,3.87,0
2023,51,1,30.92,8
5896,51,1,13.74,5
7862,51,0,0.009242144,0
8099,51,0,16.88,0
10428,51,1,0.01,6
12007,51,1,0.01,7
13302,51,1,0.01,2
14721,51,1,3.06,0
16882,51,1,0.01,0
17025,51,1,37.26,0
17614,51,1,35.82,4
19952,51,0,0.01,0
20787,51,1,0.01,0
21427,51,1,4.72,1
22324,51,2,22.35,3
23640,51,1,0.01,5
23648,51,0,0.009242144,0
23883,51,1,0.01,0
24278,51,1,120.27,6
24371,51,0,0.01,0
27777,51,1,154.63,5
28791,51,0,54.98,0
29511,51,1,27.49,2
29767,51,1,6.87,8
104045,51,1,27.49,5
106570,51,1,0.009242144,0
110875,51,1,0.009242144,4
400304,51,1,0.18,0
400336,51,1,137.45,0
400351,51,1,1.11,0
400746,51,1,0.73,0
401000,51,1,60.04,0
401696,51,1,10.3,0
8995,52,0,0.009242144,0
9549,52,1,1.54,4
10332,52,1,0.01,0
11181,52,1,1.35,0
11216,52,1,0.01,6
11610,52,0,4.76,0
13171,52,1,424.83,4
14458,52,1,0.01,3
16718,52,2,0.01,0
17362,52,1,0.01,10
17809,52,0,0.009242144,0
18860,52,1,0.01,6
19286,52,1,0.01,0
20209,52,1,19.36,2
20612,52,1,0.07,4
21306,52,1,0.01,6
21585,52,1,3.43,3
21599,52,1,0.29,8
21603,52,1,0.87,0
23322,52,2,0.01,2
24349,52,1,0.01,4
24369,52,2,0.01,1
24816,52,1,0.01,5
24918,52,1,0.01,5
25125,52,1,10.3,9
29019,52,1,41.23,2
29994,52,0,13.87,2
100139,52,1,171.82,6
100946,52,1,18.98,0
101650,52,1,120.27,4
102234,52,1,0.01,4
400515,52,1,2.14,0
400897,52,1,109.22,2
402180,52,1,17.07,8
2627,53,1,48.1,8
8476,53,1,0.01,2
9423,53,1,0.01,4
10950,53,0,0.01,0
11096,53,1,0.01,10
12986,53,0,0.77,0
13268,53,0,11.62,0
13880,53,1,0.01,4
14021,53,1,0.01,3
15302,53,1,26.16,1
15803,53,0,0.009242144,0
16356,53,0,2.19,0
16731,53,1,0.01,0
17578,53,0,0.01,0
17986,53,1,0.01,2
18081,53,1,0.01,2
21426,53,2,0.54,0
22479,53,1,23.73,4
23257,53,0,2.67,0
23325,53,0,62.34,0
24392,53,0,0.01,0
24823,53,1,0.01,0
24887,53,1,240.54,1
25000,53,0,0.34,0
25595,53,0,20.61,0
26718,53,1,0.01,4
27785,53,1,309.27,3
27956,53,2,0.01,1
28238,53,0,0.01,0
28515,53,1,12.41,5
29743,53,1,1.82,2
29877,53,0,137.45,0
100600,53,1,0.01,2
100901,53,1,6.87,6
108344,53,1,0.01,3
109518,53,1,0.01,4
400025,53,1,12.36,0
400199,53,1,0.92,0
400247,53,1,2.9,0
400536,53,1,0.01,0
400646,53,1,1.03,0
400686,53,1,5.33,0
400888,53,1,348.83,0
401056,53,1,3.98,0
401080,53,1,3.41,0
401130,53,1,154.63,0
401163,53,1,58.13,0
403424,53,1,13.74,0
403620,53,1,0.09,0
1544,54,0,0.19,0
2509,54,1,17.18,6
2544,54,1,2.06,0
7460,54,1,0.01,1
7785,54,1,0.01,3
8080,54,0,0.29,0
8358,54,1,0.01,0
9883,54,1,27.42,0
10222,54,1,0.01,3
10233,54,0,0.009242144,0
10537,54,1,0.01,7
11558,54,0,0.01,0
11937,54,1,1.03,2
12197,54,1,0.38,4
12683,54,0,0.009242144,0
13130,54,1,27.9,6
13377,54,2,11.48,0
13713,54,1,0.01,0
14240,54,1,309.27,6
14753,54,1,0.017182131,5
15933,54,0,0.01,0
16915,54,2,4.49,4
17337,54,2,0.01,0
17808,54,1,1.54,5
18346,54,0,0.01,0
19524,54,1,0.01,5
19733,54,1,0.01,0
20842,54,0,68.72,0
21015,54,1,101.74,0
21866,54,0,0.01,0
23253,54,1,0.01,0
23313,54,1,0.01,0
23654,54,2,0.67,5
24829,54,0,0.01,0
29593,54,1,21.17,0
29910,54,1,27.49,3
39147,54,1,0.01,3
100721,54,1,85.91,13
100805,54,1,412.37,5
100982,54,0,4.97,0
101578,54,0,85.91,0
104287,54,0,10.08,0
107466,54,1,0.01,6
400338,54,1,52.05,0
400363,54,1,7.17,0
400866,54,1,5.81,0
401125,54,1,18.64,0
1955,55,1,1.54,5
7410,55,1,48.1,2
7795,55,1,0.01,0
8958,55,1,61.85,9
10336,55,0,0.01,0
10496,55,1,1.92,5
11067,55,1,174.41,2
11338,55,1,0.58,0
12010,55,0,0.009242144,0
12364,55,1,0.01,4
13820,55,1,1.25,5
14572,55,1,32.55,3
16722,55,1,0.01,4
16970,55,1,9.3,2
16996,55,1,13.22,3
18816,55,2,95.3,1
20208,55,1,103.03,10
20793,55,2,5.81,1
21167,55,1,0.008077544,2
21290,55,1,0.01,5
21348,55,1,0.53,4
22041,55,2,0.01,5
22090,55,1,0.01,4
22303,55,1,5.18,0
22508,55,1,0.01,4
23312,55,1,0.01,6
23786,55,1,0.01,2
23842,55,1,0.009242144,0
24223,55,1,28.66,3
24405,55,1,0.01,0
24688,55,1,30.92,0
25894,55,1,1.81,2
25937,55,0,0.01,0
25990,55,1,7.76,6
26899,55,1,0.009242144,0
28076,55,1,0.01,5
28703,55,1,118.63,1
29737,55,1,6.87,7
100625,55,1,41.23,4
101246,55,1,20.61,4
101687,55,0,3.43,0
400431,55,1,137.45,0
400816,55,1,240.96,0
400989,55,1,11.62,0
401063,55,1,2.32,0
401558,55,1,0.008077544,0
7260,56,1,68.72,2
7488,56,1,0.01,4
8079,56,3,11.62,1
8356,56,1,0.01,3
8802,56,1,0.36,6
9025,56,2,6.87,12
10781,56,1,0.01,7
10985,56,1,0.01,12
11553,56,1,0.01,5
11617,56,1,0.98,2
12168,56,0,0.62,0
12463,56,2,0.2,1
13568,56,1,0.01,6
13935,56,1,1.27,0
14473,56,1,0.01,5
14486,56,1,0.01,6
15348,56,1,58.13,3
15730,56,1,0.01,0
15757,56,0,0.01,0
16347,56,0,0.009242144,0
16634,56,3,0.01,0
